customer_id,prob,default
100000,0.03623540765801078,0
100001,0.046592905169345986,0
100002,0.2285075037878348,0
100003,0.16376172464173933,0
100004,0.12076304875988118,0
100005,0.0628733937493115,0
100006,0.029101342701374603,0
100007,0.054077422649659174,0
100008,0.023185537598996296,0
100009,0.08626362117812625,0
100010,0.042660635562464716,0
100011,0.0713729090610838,0
100012,0.03917167321957105,0
100013,0.049959458898568405,0
100014,0.041950695919944436,0
100015,0.04854722470170345,0
100016,0.10271222365263308,0
100017,0.032781173736425494,0
100018,0.2863904004357211,0
100019,0.08058734445223813,0
100020,0.13799287344736733,0
100021,0.46567346086258726,0
100022,0.06852008387121929,0
100023,0.029090449626702795,0
100024,0.10747949753207164,0
100025,0.037360749768109866,0
100026,0.037869415307530005,0
100027,0.3609404980613218,0
100028,0.02526959591385316,0
100029,0.12025198728691207,0
100030,0.10657889400252332,0
100031,0.056885657993328335,0
100032,0.10084857077964723,0
100033,0.1150966882947603,0
100034,0.037252438295521446,0
100035,0.05273461586546815,0
100036,0.06617866581963372,0
100037,0.04912008177271335,0
100038,0.047502474397547054,0
100039,0.06539831000103591,0
100040,0.10434189193544983,0
100041,0.03506323252234254,0
100042,0.24937143910124776,0
100043,0.11045001492222563,0
100044,0.07880310204824531,0
100045,0.08967523773380218,0
100046,0.09331194297790515,0
100047,0.17314057957633047,0
100048,0.048720743022484095,0
100049,0.04266336875642331,0
100050,0.19637554724477482,0
100051,0.035670451443416004,0
100052,0.4935698539802945,0
100053,0.1264925747408008,0
100054,0.08468905403400882,0
100055,0.06438920225996604,0
100056,0.04896266478845936,0
100057,0.08580280246276054,0
100058,0.0233867688221742,0
100059,0.051950607414976806,0
100060,0.25778963690376394,0
100061,0.029962123491764508,0
100062,0.021304820139278084,0
100063,0.15375651739083585,0
100064,0.05587335923059388,0
100065,0.0806469818526868,0
100066,0.01547774094589913,0
100067,0.030824874661659927,0
100068,0.05370758103797923,0
100069,0.07525829500821113,0
100070,0.016662392196030634,0
100071,0.3279067266264588,0
100072,0.06804567924655157,0
